"member_casual","Date","month","rideable_type","total_rides","Year"
"casual",1,"January","classic_bike",100,2021
"casual",1,"January","docked_bike",47,2021
"casual",1,"January","electric_bike",133,2021
"casual",2,"January","classic_bike",251,2021
"casual",2,"January","docked_bike",112,2021
"casual",2,"January","electric_bike",180,2021
"casual",3,"January","classic_bike",291,2021
"casual",3,"January","docked_bike",74,2021
"casual",3,"January","electric_bike",216,2021
"casual",4,"January","classic_bike",226,2021
"casual",4,"January","docked_bike",47,2021
"casual",4,"January","electric_bike",256,2021
"casual",5,"January","classic_bike",294,2021
"casual",5,"January","docked_bike",91,2021
"casual",5,"January","electric_bike",259,2021
"casual",6,"January","classic_bike",314,2021
"casual",6,"January","docked_bike",114,2021
"casual",6,"January","electric_bike",278,2021
"casual",7,"January","classic_bike",329,2021
"casual",7,"January","docked_bike",75,2021
"casual",7,"January","electric_bike",344,2021
"casual",8,"January","classic_bike",275,2021
"casual",8,"January","docked_bike",71,2021
"casual",8,"January","electric_bike",340,2021
"casual",9,"January","classic_bike",745,2021
"casual",9,"January","docked_bike",211,2021
"casual",9,"January","electric_bike",447,2021
"casual",10,"January","classic_bike",447,2021
"casual",10,"January","docked_bike",88,2021
"casual",10,"January","electric_bike",309,2021
"casual",11,"January","classic_bike",236,2021
"casual",11,"January","docked_bike",44,2021
"casual",11,"January","electric_bike",255,2021
"casual",12,"January","classic_bike",322,2021
"casual",12,"January","docked_bike",68,2021
"casual",12,"January","electric_bike",323,2021
"casual",13,"January","classic_bike",352,2021
"casual",13,"January","docked_bike",70,2021
"casual",13,"January","electric_bike",345,2021
"casual",14,"January","classic_bike",240,2021
"casual",14,"January","docked_bike",77,2021
"casual",14,"January","electric_bike",256,2021
"casual",15,"January","classic_bike",343,2021
"casual",15,"January","docked_bike",106,2021
"casual",15,"January","electric_bike",367,2021
"casual",16,"January","classic_bike",405,2021
"casual",16,"January","docked_bike",103,2021
"casual",16,"January","electric_bike",348,2021
"casual",17,"January","classic_bike",251,2021
"casual",17,"January","docked_bike",93,2021
"casual",17,"January","electric_bike",273,2021
"casual",18,"January","classic_bike",289,2021
"casual",18,"January","docked_bike",74,2021
"casual",18,"January","electric_bike",258,2021
"casual",19,"January","classic_bike",160,2021
"casual",19,"January","docked_bike",26,2021
"casual",19,"January","electric_bike",192,2021
