"Time_Range","member_casual","month","rideable_type","count","Year"
"0-2","casual","January","classic_bike",182,2021
"0-2","casual","January","docked_bike",57,2021
"0-2","casual","January","electric_bike",227,2021
"0-2","member","January","classic_bike",388,2021
"0-2","member","January","electric_bike",321,2021
"2-4","casual","January","classic_bike",75,2021
"2-4","casual","January","docked_bike",22,2021
"2-4","casual","January","electric_bike",118,2021
"2-4","member","January","classic_bike",169,2021
"2-4","member","January","electric_bike",151,2021
"4-6","casual","January","classic_bike",89,2021
"4-6","casual","January","docked_bike",24,2021
"4-6","casual","January","electric_bike",117,2021
"4-6","member","January","classic_bike",742,2021
"4-6","member","January","electric_bike",278,2021
"6-8","casual","January","classic_bike",250,2021
"6-8","casual","January","docked_bike",47,2021
"6-8","casual","January","electric_bike",351,2021
"6-8","member","January","classic_bike",4806,2021
"6-8","member","January","electric_bike",1957,2021
"8-10","casual","January","classic_bike",576,2021
"8-10","casual","January","docked_bike",112,2021
"8-10","casual","January","electric_bike",555,2021
"8-10","member","January","classic_bike",5592,2021
"8-10","member","January","electric_bike",2462,2021
"10-12","casual","January","classic_bike",1029,2021
"10-12","casual","January","docked_bike",253,2021
"10-12","casual","January","electric_bike",755,2021
"10-12","member","January","classic_bike",5912,2021
"10-12","member","January","electric_bike",2616,2021
"12-14","casual","January","classic_bike",1456,2021
"12-14","casual","January","docked_bike",389,2021
"12-14","casual","January","electric_bike",1132,2021
"12-14","member","January","classic_bike",7829,2021
"12-14","member","January","electric_bike",3414,2021
"14-16","casual","January","classic_bike",1556,2021
"14-16","casual","January","docked_bike",469,2021
"14-16","casual","January","electric_bike",1209,2021
"14-16","member","January","classic_bike",8167,2021
"14-16","member","January","electric_bike",3783,2021
"16-18","casual","January","classic_bike",1403,2021
"16-18","casual","January","docked_bike",327,2021
"16-18","casual","January","electric_bike",1402,2021
"16-18","member","January","classic_bike",9748,2021
"16-18","member","January","electric_bike",4478,2021
"18-20","casual","January","classic_bike",891,2021
"18-20","casual","January","docked_bike",207,2021
"18-20","casual","January","electric_bike",942,2021
"18-20","member","January","classic_bike",6589,2021
"18-20","member","January","docked_bike",1,2021
"18-20","member","January","electric_bike",3513,2021
"20-22","casual","January","classic_bike",438,2021
"20-22","casual","January","docked_bike",99,2021
