"Day","month","member_casual","rideable_type","mean_count","Year"
"Sun","January","casual","classic_bike",271,2021
"Sun","January","casual","docked_bike",70,2021
"Sun","January","casual","electric_bike",231,2021
"Sun","January","member","classic_bike",1198,2021
"Sun","January","member","electric_bike",577,2021
"Mon","January","casual","classic_bike",234,2021
"Mon","January","casual","docked_bike",50,2021
"Mon","January","casual","electric_bike",238,2021
"Mon","January","member","classic_bike",1908,2021
"Mon","January","member","electric_bike",876,2021
"Tue","January","casual","classic_bike",207,2021
"Tue","January","casual","docked_bike",49,2021
"Tue","January","casual","electric_bike",214,2021
"Tue","January","member","classic_bike",1831,2021
"Tue","January","member","electric_bike",811,2021
"Wed","January","casual","classic_bike",232,2021
"Wed","January","casual","docked_bike",58,2021
"Wed","January","casual","electric_bike",233,2021
"Wed","January","member","classic_bike",1920,2021
"Wed","January","member","docked_bike",1,2021
"Wed","January","member","electric_bike",881,2021
"Thu","January","casual","classic_bike",264,2021
"Thu","January","casual","docked_bike",59,2021
"Thu","January","casual","electric_bike",264,2021
"Thu","January","member","classic_bike",2044,2021
"Thu","January","member","electric_bike",948,2021
"Fri","January","casual","classic_bike",240,2021
"Fri","January","casual","docked_bike",64,2021
"Fri","January","casual","electric_bike",264,2021
"Fri","January","member","classic_bike",1681,2021
"Fri","January","member","electric_bike",848,2021
"Sat","January","casual","classic_bike",391,2021
"Sat","January","casual","docked_bike",114,2021
"Sat","January","casual","electric_bike",295,2021
"Sat","January","member","classic_bike",1646,2021
"Sat","January","member","electric_bike",818,2021
"Sun","February","casual","classic_bike",196,2021
"Sun","February","casual","docked_bike",50,2021
"Sun","February","casual","electric_bike",101,2021
"Sun","February","member","classic_bike",771,2021
"Sun","February","member","electric_bike",226,2021
"Mon","February","casual","classic_bike",78,2021
"Mon","February","casual","docked_bike",8,2021
"Mon","February","casual","electric_bike",60,2021
"Mon","February","member","classic_bike",776,2021
"Mon","February","member","electric_bike",226,2021
"Tue","February","casual","classic_bike",150,2021
"Tue","February","casual","docked_bike",21,2021
"Tue","February","casual","electric_bike",81,2021
"Tue","February","member","classic_bike",1078,2021
"Tue","February","member","electric_bike",354,2021
"Wed","February","casual","classic_bike",156,2021
"Wed","February","casual","docked_bike",23,2021
"Wed","February","casual","electric_bike",102,2021
"Wed","February","member","classic_bike",1222,2021
"Wed","February","member","electric_bike",432,2021
"Thu","February","casual","classic_bike",140,2021
"Thu","February","casual","docked_bike",19,2021
"Thu","February","casual","electric_bike",101,2021
"Thu","February","member","classic_bike",1086,2021
"Thu","February","member","electric_bike",421,2021
"Fri","February","casual","classic_bike",199,2021
"Fri","February","casual","docked_bike",44,2021
"Fri","February","casual","electric_bike",131,2021
"Fri","February","member","classic_bike",1194,2021
"Fri","February","member","electric_bike",454,2021
"Sat","February","casual","classic_bike",504,2021
"Sat","February","casual","docked_bike",152,2021
"Sat","February","casual","electric_bike",215,2021
"Sat","February","member","classic_bike",1202,2021
"Sat","February","member","electric_bike",430,2021
"Sun","March","casual","classic_bike",2436,2021
"Sun","March","casual","docked_bike",923,2021
"Sun","March","casual","electric_bike",976,2021
"Sun","March","member","classic_bike",3476,2021
"Sun","March","member","electric_bike",1095,2021
"Mon","March","casual","classic_bike",1274,2021
"Mon","March","casual","docked_bike",474,2021
"Mon","March","casual","electric_bike",651,2021
"Mon","March","member","classic_bike",3433,2021
"Mon","March","member","electric_bike",1134,2021
"Tue","March","casual","classic_bike",1115,2021
"Tue","March","casual","docked_bike",367,2021
"Tue","March","casual","electric_bike",610,2021
"Tue","March","member","classic_bike",3458,2021
"Tue","March","member","electric_bike",1249,2021
"Wed","March","casual","classic_bike",908,2021
"Wed","March","casual","docked_bike",261,2021
"Wed","March","casual","electric_bike",608,2021
"Wed","March","member","classic_bike",3303,2021
"Wed","March","member","electric_bike",1254,2021
"Thu","March","casual","classic_bike",744,2021
"Thu","March","casual","docked_bike",183,2021
"Thu","March","casual","electric_bike",444,2021
"Thu","March","member","classic_bike",2924,2021
"Thu","March","member","electric_bike",1070,2021
"Fri","March","casual","classic_bike",1036,2021
"Fri","March","casual","docked_bike",272,2021
"Fri","March","casual","electric_bike",636,2021
"Fri","March","member","classic_bike",3279,2021
"Fri","March","member","electric_bike",1191,2021
"Sat","March","casual","classic_bike",3045,2021
"Sat","March","casual","docked_bike",1158,2021
"Sat","March","casual","electric_bike",1319,2021
"Sat","March","member","classic_bike",4331,2021
"Sat","March","member","electric_bike",1460,2021
"Sun","April","casual","classic_bike",3352,2021
"Sun","April","casual","docked_bike",1363,2021
"Sun","April","casual","electric_bike",1584,2021
"Sun","April","member","classic_bike",4679,2021
"Sun","April","member","electric_bike",1610,2021
"Mon","April","casual","classic_bike",2081,2021
"Mon","April","casual","docked_bike",703,2021
"Mon","April","casual","electric_bike",1224,2021
"Mon","April","member","classic_bike",5074,2021
"Mon","April","member","electric_bike",1859,2021
"Tue","April","casual","classic_bike",2657,2021
"Tue","April","casual","docked_bike",913,2021
"Tue","April","casual","electric_bike",1524,2021
"Tue","April","member","classic_bike",5826,2021
"Tue","April","member","electric_bike",2136,2021
"Wed","April","casual","classic_bike",1520,2021
"Wed","April","casual","docked_bike",481,2021
"Wed","April","casual","electric_bike",998,2021
"Wed","April","member","classic_bike",4485,2021
"Wed","April","member","electric_bike",1853,2021
"Thu","April","casual","classic_bike",1198,2021
"Thu","April","casual","docked_bike",306,2021
"Thu","April","casual","electric_bike",966,2021
"Thu","April","member","classic_bike",3839,2021
"Thu","April","member","electric_bike",1778,2021
"Fri","April","casual","classic_bike",2302,2021
"Fri","April","casual","docked_bike",735,2021
"Fri","April","casual","electric_bike",1549,2021
"Fri","April","member","classic_bike",5030,2021
"Fri","April","member","electric_bike",2129,2021
"Sat","April","casual","classic_bike",3709,2021
"Sat","April","casual","docked_bike",1417,2021
"Sat","April","casual","electric_bike",1806,2021
"Sat","April","member","classic_bike",4812,2021
"Sat","April","member","electric_bike",1852,2021
"Sun","May","casual","classic_bike",6302,2021
"Sun","May","casual","docked_bike",2443,2021
"Sun","May","casual","electric_bike",3686,2021
"Sun","May","member","classic_bike",5885,2021
"Sun","May","member","electric_bike",2536,2021
"Mon","May","casual","classic_bike",3194,2021
"Mon","May","casual","docked_bike",1221,2021
"Mon","May","casual","electric_bike",2469,2021
"Mon","May","member","classic_bike",5684,2021
"Mon","May","member","electric_bike",2632,2021
"Tue","May","casual","classic_bike",2059,2021
"Tue","May","casual","docked_bike",613,2021
"Tue","May","casual","electric_bike",1976,2021
"Tue","May","member","classic_bike",5548,2021
"Tue","May","member","electric_bike",2806,2021
"Wed","May","casual","classic_bike",2702,2021
"Wed","May","casual","docked_bike",716,2021
"Wed","May","casual","electric_bike",2372,2021
